year,area,total_conc,total_fem,total_masc,prop_conc,prop_fem,prop_masc
2007,Arts & Humanities,28087,17056,11031,0.03623007068778701,0.036877758102144644,0.03527222380323528
2007,Business & Management,336155,185191,150964,0.4336141065992467,0.4004121072170655,0.4827156190945165
2007,Education,175585,135810,39775,0.22649115112739282,0.2936426083403063,0.12718273064760072
2007,Engineering,47016,13060,33956,0.06064702543728394,0.028237776783185335,0.10857616095210383
2007,Health & Medical,114056,83499,30557,0.1471234714411021,0.18053798802597185,0.09770767317155839
2007,Natural Sciences,59048,21759,37289,0.07616738042412673,0.047046384764573485,0.11923361013496878
2007,Other/Unknown,15293,6126,9167,0.01972679428306073,0.013245376766752937,0.029311982196016488
2007,Total,775240,462501,312739,1,1,1
2008,Arts & Humanities,29222,17040,12182,0.03413334454680632,0.03310061888833203,0.035690951866142816
2008,Business & Management,375608,207939,167669,0.4387364752082961,0.40392661919136585,0.4912384016125677
2008,Education,196590,151021,45569,0.2296309015281861,0.2933620049961732,0.13350853600297669
2008,Engineering,47590,13703,33887,0.05558845619678711,0.026618414356033675,0.0992824894014104
2008,Health & Medical,128506,95649,32857,0.15010401664266282,0.1858005338057553,0.09626478455638274
2008,Natural Sciences,62238,23086,39152,0.07269834706399739,0.044845122515025426,0.11470794183740138
2008,Other/Unknown,16359,6356,10003,0.01910845881326414,0.01234668624731446,0.029306894723118256
2008,Total,856113,514794,341319,1,1,1
2009,Arts & Humanities,14476,7546,6930,0.018431114410162323,0.015101544175919182,0.024253920700528828
2009,Business & Management,270568,147089,123479,0.34449224673451223,0.2943640380720615,0.43215726900152945
2009,Education,243350,191925,51425,0.3098377792009534,0.38409274661586124,0.1799794909126544
2009,Engineering,64099,16166,47933,0.08161204770495957,0.03235244674634369,0.16775803476745285
2009,Health & Medical,130541,101083,29458,0.16620724690639677,0.20229384971301861,0.10309841212066063
2009,Natural Sciences,7472,4130,3342,0.009513490389108377,0.00826522362132868,0.011696479506661953
2009,Other/Unknown,17070,6764,10306,0.021733843809164884,0.013536555102824985,0.03606939491192642
2009,Social & Behavioral Sciences,37835,24981,12854,0.04817223084474243,0.04999359595264207,0.0449869980785855
2009,Total,785411,499684,285727,1,1,1
2010,Arts & Humanities,16498,8549,7949,0.020338673807022995,0.016617973225410785,0.026789475635361163
2010,Business & Management,278334,154708,123626,0.3431291329496871,0.30072913811637053,0.41664054785471877
2010,Education,234517,180047,54470,0.28911169627843447,0.3499843520078998,0.1835731208778617
2010,Engineering,65931,16857,49074,0.08127949465212954,0.032767478612790925,0.1653876874235393
2010,Health & Medical,143856,110950,32906,0.17734514845333374,0.2156701519896276,0.11089879044624411
2010,Natural Sciences,10740,6201,4539,0.013240232554699173,0.012053813542025064,0.015297198378274542
2010,Other/Unknown,16723,6802,9921,0.02061605298065496,0.013222067362176178,0.033435449462626506
2010,Social & Behavioral Sciences,44565,30329,14236,0.05493956832403805,0.05895502514369911,0.04797772992137395
2010,Total,811164,514443,296721,1,1,1
2011,Arts & Humanities,18478,9453,9025,0.021840678174451206,0.017577950670911308,0.02927723350418478
2011,Business & Management,287467,160788,126679,0.3397810495061676,0.2989869387997977,0.41094854992538765
2011,Education,239562,184986,54576,0.283158163482405,0.3439833685400613,0.17704535132680205
2011,Engineering,69401,18693,50708,0.08203078828796884,0.03475982565231621,0.1644975021086096
2011,Health & Medical,153555,117335,36220,0.18149936882118492,0.21818563863021034,0.11749821579186401
2011,Natural Sciences,12341,7016,5325,0.014586849732162697,0.013046324120079736,0.017274378771167196
2011,Other/Unknown,17826,7335,10491,0.02107002538899054,0.013639507899199666,0.03403295919029391
2011,Social & Behavioral Sciences,47406,32170,15236,0.05603307660666922,0.05982044568742376,0.04942580938169078
2011,Total,846036,537776,308260,1,1,1
2012,Arts & Humanities,18399,9570,8829,0.021359960435488254,0.017487820655729316,0.02810530336792513
2012,Business & Management,298621,169955,128666,0.34667822953453653,0.3105687105062149,0.4095817151588464
2012,Education,224223,173014,51209,0.2603073215243482,0.31615860009721547,0.1630133061692239
2012,Engineering,80557,22393,58164,0.0935210790152523,0.040920038447622424,0.18515311644489718
